epoch,train_loss,test_acc@1,test_acc@5
1,4.039064617034716,77.8,98.96000000000001
2,4.030211418102949,78.05,98.96000000000001
3,4.026477936597971,78.59,98.92
4,4.027787807660225,77.86,98.96000000000001
5,4.0219517982923065,78.53999999999999,98.91
6,4.023764400604444,78.64,98.94
7,4.023299556512099,79.07,99.03
8,4.021485029734098,78.47,99.08
9,4.0224947232466475,79.09,99.08
10,4.019398973538325,78.68,98.97
11,4.022861001430414,78.83,99.13
12,4.018004565972548,78.99000000000001,99.11
13,4.01784068498856,78.84,99.09
14,4.016640512759869,78.84,99.13
15,4.014306399149772,79.4,99.11999999999999
16,4.014388133317996,79.17999999999999,98.99
17,4.011651929219564,79.82000000000001,99.08
18,4.015431092946957,79.49000000000001,99.13
19,4.013061136465806,79.42,99.05000000000001
20,4.013626049115108,79.51,99.06
21,4.011319133562919,79.44,98.97
22,4.008593433331221,78.9,99.13
23,4.009290762436696,79.14,99.16
24,4.008049314449995,79.35,98.99
25,4.010832897210732,79.44,99.08
26,4.006940710850251,79.36,99.11
27,4.010431005404546,79.38,98.99
28,4.006731772422791,80.35,99.08
29,4.006759591591664,79.86,99.09
30,4.007964042516855,79.77,99.11999999999999
31,4.005543991235586,79.64,99.13
32,4.002696421818856,80.08,99.18
33,4.006888758830535,80.17999999999999,99.11
34,4.002916255975381,79.69000000000001,99.11
35,4.008083963394165,80.36,99.18
36,4.0039956074494585,80.02,99.17
37,4.0013081361085945,80.69,99.09
38,4.003055332257198,80.06,99.11
39,3.999686020459884,80.13,99.09
40,4.002196207413307,80.03,99.11999999999999
41,3.9992429580443947,80.58,99.17
42,4.0002086517138356,80.44,99.08
43,3.9975501989706967,80.17999999999999,99.18
44,3.998947063470498,80.73,99.17
45,3.995445232513623,80.38,99.33
46,4.001558567927434,80.35,99.09
47,3.997785165371039,80.67999999999999,99.19
48,3.9986706904875926,80.56,99.13
49,3.9951503405204187,80.78,99.25
50,3.9962471002187483,80.58,99.22
51,3.9975789779271835,81.06,99.2
52,3.994693100758088,80.76,99.15
53,3.9949138537431375,80.85,99.15
54,3.9950153784874156,81.21000000000001,99.21
55,3.994952736145411,80.67999999999999,99.1
56,3.9914503745543652,80.74,99.17
57,3.9906107725241244,81.14,99.14
58,3.9941847960154218,80.75,99.13
59,3.992826754007584,80.67,99.13
60,3.994660595135811,80.81,99.28
61,3.992126999757229,80.73,99.22
62,3.9914050261179606,80.91000000000001,99.25
63,3.988920030838404,81.24,99.22
64,3.9934217746441183,80.85,99.26
65,3.9894603570302327,80.60000000000001,99.17
66,3.9880651908043103,80.85,99.15
67,3.988391888447297,81.39999999999999,99.2
68,3.9885945894779304,81.17,99.21
69,3.9874804735183718,81.37,99.26
70,3.9859813500673344,81.28,99.22999999999999
71,3.9901687536484154,81.26,99.28
72,3.98422782604511,81.56,99.35000000000001
73,3.984238208257235,81.39999999999999,99.3
74,3.984514647263747,81.5,99.18
75,3.984045378978436,81.31,99.28
