epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,0.918445843257904,72.726,97.128,0.5415945265293122,81.88,99.24
2,0.6794737701034546,76.578,98.092,0.48696449842453005,83.42,99.48
3,0.6537664975357056,77.36800000000001,98.182,0.4595530874729156,84.15,99.5
4,0.6391453522491455,77.72,98.25,0.4475461393356323,84.42,99.51
5,0.6321398207855224,78.096,98.268,0.43862946038246153,84.58,99.5
6,0.6265891260147095,78.33,98.22999999999999,0.42486425638198855,85.41,99.59
7,0.6233201183128357,78.36999999999999,98.32,0.4255118330478668,85.38,99.57000000000001
8,0.6150241002082825,78.632,98.258,0.41949889454841616,85.28,99.53999999999999
9,0.6133728123855591,78.914,98.244,0.41405175213813783,85.45,99.61
10,0.6089263015651702,78.976,98.392,0.4101790474891663,85.81,99.6
11,0.6072822771644593,78.908,98.35199999999999,0.4085326615333557,85.83,99.59
12,0.6104357189178466,78.81,98.302,0.4049603412151337,85.98,99.61
13,0.6078606418037414,78.962,98.366,0.4033225905418396,86.03,99.58
14,0.602433335762024,79.13,98.37,0.3967410069942474,86.29,99.63
15,0.6025401324081421,79.034,98.382,0.39854114480018615,86.42,99.6
16,0.5946972691726684,79.27,98.368,0.3986942885398865,86.42999999999999,99.57000000000001
17,0.5935217025756836,79.342,98.438,0.3959651617527008,86.38,99.61
18,0.5923757083129882,79.488,98.428,0.3937324721336365,86.18,99.57000000000001
19,0.597035878829956,79.174,98.394,0.39480805277824405,86.14,99.59
20,0.5936520672988892,79.378,98.412,0.3944141225337982,86.46000000000001,99.56
21,0.5902688601303101,79.518,98.45,0.39067156076431275,86.45,99.58
22,0.5934078692817688,79.578,98.35000000000001,0.3863671456336975,86.61999999999999,99.64
23,0.5893086813926697,79.604,98.408,0.39176898498535156,86.48,99.57000000000001
24,0.5875319671440125,79.444,98.458,0.3870647206783295,86.36,99.6
25,0.5867981154632569,79.632,98.47,0.3871993502616882,86.36,99.65
26,0.5862608237075806,79.668,98.384,0.3860334801673889,86.44,99.61
27,0.5884332618522644,79.572,98.414,0.38561868529319765,86.64,99.64
28,0.5828070709991455,79.746,98.422,0.38728549218177794,86.53,99.61
29,0.5854933972549439,79.642,98.418,0.3821508255004883,86.59,99.61
30,0.5800013340377808,79.646,98.542,0.3850474960327148,86.58,99.62
31,0.5890658688163757,79.67999999999999,98.382,0.3816034812450409,86.9,99.61
32,0.5754517973518372,80.02,98.476,0.3802994041442871,86.38,99.6
33,0.5793232698249817,79.914,98.396,0.37873208165168765,86.77,99.61
34,0.5808068375778198,79.798,98.42,0.3805390405654907,86.63,99.62
35,0.578680095911026,79.826,98.46000000000001,0.3770848688602447,86.82,99.62
36,0.5826764364814758,79.764,98.512,0.37777979521751404,86.83,99.59
37,0.5831893470573425,79.586,98.38799999999999,0.37757421317100526,86.88,99.63
38,0.58120742603302,79.958,98.41,0.3765854689598083,86.78,99.64
39,0.5829211671066284,79.754,98.436,0.3762873864173889,86.71,99.6
40,0.5788323708724975,79.73400000000001,98.494,0.3797103657722473,86.36,99.63
41,0.5756064987945556,79.99199999999999,98.372,0.3775998168468475,86.68,99.59
42,0.5829894325637818,79.884,98.366,0.3778291935920715,87.03,99.6
