epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.128891471862793,32.6,73.8,1.9024922891616822,59.160000000000004,94.36
2,1.8035522785186768,71.39999999999999,98.2,1.7856902019500733,71.46000000000001,97.19
3,1.7149719047546386,81.2,98.4,1.7357864768981934,75.03999999999999,98.13
4,1.6706318101882935,84.2,99.2,1.712013621520996,75.88000000000001,97.75
5,1.6350226192474364,86.2,99.2,1.6972384061813355,76.22,97.67
6,1.6227295942306519,85.39999999999999,99.4,1.6874864780426024,76.98,97.87
7,1.6058953800201416,86.8,99.2,1.6810667406082154,77.46,97.95
8,1.6002420959472656,87.0,99.4,1.6783291954040527,77.4,97.88
9,1.587258836746216,88.4,99.6,1.6766420188903808,77.74,97.57000000000001
10,1.5802062931060792,89.2,99.6,1.671255330657959,78.03,97.83
11,1.5689360456466674,90.2,99.8,1.6683546020507813,78.2,97.83
12,1.5592879390716552,91.2,100.0,1.6697268138885497,78.14999999999999,97.45
13,1.553697913169861,91.60000000000001,99.8,1.6646939477920533,78.53999999999999,97.8
14,1.5459328413009643,92.4,100.0,1.6663038482666015,78.58000000000001,97.34
15,1.5410062799453734,92.60000000000001,100.0,1.6651601440429689,78.62,97.48
16,1.5313862648010255,94.0,100.0,1.663862152671814,78.68,97.41
17,1.52873237323761,93.4,100.0,1.6661383401870729,78.42,97.09
18,1.5259542722702026,95.19999999999999,100.0,1.6647423234939576,78.39,97.28
19,1.5197535734176635,95.19999999999999,100.0,1.6671693855285645,78.36999999999999,96.7
20,1.5117605333328248,96.39999999999999,100.0,1.6682640111923217,78.14999999999999,97.16
21,1.5081000623703003,96.2,100.0,1.670972395133972,78.27,96.21
22,1.502457049369812,96.8,100.0,1.6690187622070312,78.2,96.94
23,1.5015661611557007,97.39999999999999,100.0,1.668031981086731,78.52,96.54
24,1.4969343004226685,97.2,100.0,1.6721778173446655,78.25999999999999,96.48
25,1.4926338520050049,97.2,100.0,1.6694759754180908,78.44,96.52
26,1.487838952064514,98.0,100.0,1.6698080368041992,78.53999999999999,96.1
27,1.4880167980194092,98.4,100.0,1.673060786819458,78.34,96.16
28,1.4842953100204468,98.4,100.0,1.674513634109497,78.25,95.95
29,1.4810103569030761,99.0,100.0,1.6729853689193726,78.27,96.26
30,1.4791855154037477,98.4,100.0,1.67639130859375,78.11,95.99
31,1.4822680311203003,98.8,100.0,1.6767758584976196,77.98,95.75
32,1.4770357866287231,99.0,100.0,1.675620134162903,78.31,96.39999999999999
33,1.4761882638931274,98.8,100.0,1.6786736682891845,78.06,95.65
34,1.4692277746200562,99.2,100.0,1.6730363983154297,78.4,96.17999999999999
35,1.4731053504943847,99.0,100.0,1.675476468849182,78.22,95.52000000000001
