epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.353827356338501,9.8,49.2,2.3462159820556643,11.360000000000001,49.980000000000004
2,2.328798183441162,10.0,51.800000000000004,2.3400277206420896,9.81,49.93
3,2.3163227653503418,10.0,51.4,2.329323215866089,10.0,50.0
4,2.3012709007263186,9.8,54.2,2.3202270362854005,10.0,50.0
5,2.2909873580932616,10.6,57.99999999999999,2.313124940490723,9.99,50.0
6,2.2816009922027587,12.4,61.199999999999996,2.30843740272522,10.209999999999999,50.05
7,2.276834140777588,13.0,61.0,2.3043953395843504,10.979999999999999,51.49
8,2.272732105255127,14.799999999999999,63.4,2.299698309326172,10.25,52.28
9,2.269734115600586,15.0,65.4,2.293843462371826,10.66,53.61
10,2.2670825023651124,14.799999999999999,65.4,2.2862897968292235,11.57,55.169999999999995
11,2.2614555072784426,15.0,65.8,2.2766133434295655,13.04,57.440000000000005
12,2.2550546131134035,17.2,66.60000000000001,2.264931706237793,15.47,60.91
13,2.2407531490325927,15.8,67.2,2.251588342285156,16.150000000000002,62.56
14,2.2276621208190917,17.599999999999998,66.4,2.2375919162750244,16.61,64.02
15,2.212068264007568,19.6,67.4,2.230783381652832,16.09,64.97
16,2.22181512260437,16.2,66.60000000000001,2.2410153385162355,14.6,64.60000000000001
17,2.212356513977051,17.8,67.4,2.2331688304901123,17.11,64.97
18,2.21598681640625,18.8,65.8,2.235082106399536,17.69,64.97
19,2.2074693489074706,19.2,66.0,2.2243492584228517,17.45,66.85
20,2.1827924766540527,20.4,70.39999999999999,2.2368084510803223,16.33,65.4
21,2.2033326225280763,21.0,67.4,2.230227898025513,16.42,65.71000000000001
22,2.1907457485198973,21.0,69.19999999999999,2.2319667861938477,16.12,66.05
23,2.1924790515899657,18.8,69.8,2.2291647773742675,17.299999999999997,65.49000000000001
24,2.1790988960266113,22.8,70.6,2.2268176624298097,15.870000000000001,66.56
25,2.185325391769409,19.6,71.6,2.224376772689819,17.599999999999998,66.82000000000001
26,2.1755384368896484,22.8,72.8,2.231369861984253,16.580000000000002,65.8
27,2.186416311264038,22.400000000000002,72.2,2.2215224609375,16.939999999999998,67.19000000000001
28,2.1768352794647217,17.599999999999998,76.2,2.22582950592041,15.870000000000001,67.46
29,2.1691116867065428,22.400000000000002,74.0,2.2210960216522215,18.22,68.28999999999999
30,2.1687611083984377,23.0,75.2,2.2268879138946533,16.05,68.17
31,2.168906457901001,21.6,74.0,2.23517904548645,16.59,65.32
32,2.175673666000366,21.6,73.0,2.227577942657471,16.400000000000002,65.93
33,2.174946159362793,19.8,71.2,2.227188300704956,16.869999999999997,65.13
34,2.160565877914429,24.8,71.6,2.2237559158325197,16.96,67.64
35,2.1470522327423094,25.6,77.2,2.2193652225494387,16.21,67.21000000000001
36,2.1338178215026855,24.2,77.0,2.219884428024292,17.75,66.99000000000001
37,2.142202877044678,23.200000000000003,74.8,2.215370914077759,17.77,67.53
38,2.1258909015655516,27.800000000000004,75.8,2.2139964225769044,18.69,68.47999999999999
39,2.1263066349029542,28.4,79.4,2.2334709022521975,16.400000000000002,64.19
40,2.176032684326172,22.8,70.19999999999999,2.2261918224334716,16.439999999999998,66.56
41,2.1654819183349607,21.6,75.8,2.2257003158569337,16.16,67.33
42,2.1319788398742676,22.2,79.2,2.221956658935547,16.900000000000002,67.66
43,2.1353904762268066,28.000000000000004,76.8,2.217956276321411,18.57,68.16
